Program "PAW_quantitative_report.py" run on Sun Oct 15 16:01:44 2017

	=SUBTOTAL(109,B5:B4441)													Total	Total	Total	Total	Unique	Unique	Unique	Unique	Corrected	Corrected	Corrected	Corrected
748	1	sp|P19973|LSP1_MOUSE	 	 	 	 	35.5	330	36713	Lymphocyte-specific protein 1 OS=Mus musculus GN=Lsp1 PE=1 SV=2	18	18	1.000	5	2	5	6	5	2	5	6	5.000	2.000	5.000	6.000
749	1	sp|P20029|GRP78_MOUSE	 	 	sp|P16627|HS71L_MOUSE, sp|P17156|HSP72_MOUSE, sp|P17879|HS71B_MOUSE, sp|P20029|GRP78_MOUSE, sp|P63017|HSP7C_MOUSE	 	62.7	655	72421	78 kDa glucose-regulated protein OS=Mus musculus GN=Hspa5 PE=1 SV=3	517	424	0.820	145	130	119	123	118	111	93	102	129.178	119.318	102.635	110.703
750	1	sp|P20060|HEXB_MOUSE	 	 	 	 	30.8	536	61115	Beta-hexosaminidase subunit beta OS=Mus musculus GN=Hexb PE=1 SV=2	63	63	1.000	10	22	15	16	10	22	15	16	10.000	22.000	15.000	16.000
751	1	sp|P20065|TYB4_MOUSE	 	 	 	 	38.0	50	5679	Thymosin beta-4 OS=Mus musculus GN=Tmsb4x PE=1 SV=1	8	8	1.000	2	2	2	2	2	2	2	2	2.000	2.000	2.000	2.000
752	1	sp|P20108|PRDX3_MOUSE	 	 	 	 	43.6	257	28127	Thioredoxin-dependent peroxide reductase, mitochondrial OS=Mus musculus GN=Prdx3 PE=1 SV=1	59	59	1.000	16	13	13	17	16	13	13	17	16.000	13.000	13.000	17.000
754	1	sp|P20444|KPCA_MOUSE	 	 	sp|P16054|KPCE_MOUSE, sp|P20444|KPCA_MOUSE, sp|P28867|KPCD_MOUSE	 	10.6	672	76851	Protein kinase C alpha type OS=Mus musculus GN=Prkca PE=1 SV=3	9	8	0.889	2	2	2	3	2	2	1	3	2.000	2.000	1.167	3.000
755	1	sp|P20918|PLMN_MOUSE	 	 	 	 	63.9	812	90807	Plasminogen OS=Mus musculus GN=Plg PE=1 SV=3	282	282	1.000	72	65	68	77	72	65	68	77	72.000	65.000	68.000	77.000
756	1	sp|P21107|TPM3_MOUSE	 	 	sp|P21107|TPM3_MOUSE, sp|P58771|TPM1_MOUSE, sp|P58774|TPM2_MOUSE, sp|Q6IRU2|TPM4_MOUSE	 	44.6	285	32994	Tropomyosin alpha-3 chain OS=Mus musculus GN=Tpm3 PE=1 SV=3	100	35	0.350	28	26	23	23	10	7	8	10	19.124	14.763	15.152	17.033
757	1	sp|P21126|UBL4A_MOUSE	 	 	 	 	29.3	157	17800	Ubiquitin-like protein 4A OS=Mus musculus GN=Ubl4a PE=1 SV=1	8	8	1.000	1	2	3	2	1	2	3	2	1.000	2.000	3.000	2.000
758	1	sp|P21180|CO2_MOUSE	 	 	 	 	18.6	760	84741	Complement C2 OS=Mus musculus GN=C2 PE=1 SV=2	26	26	1.000	6	8	7	5	6	8	7	5	6.000	8.000	7.000	5.000
759	1	sp|P21278|GNA11_MOUSE	 	 	sp|P21278|GNA11_MOUSE, sp|P21279|GNAQ_MOUSE	 	32.9	359	42024	Guanine nucleotide-binding protein subunit alpha-11 OS=Mus musculus GN=Gna11 PE=1 SV=1	35	26	0.743	8	8	10	9	6	6	7	7	6.857	6.857	8.235	7.778
760	1	sp|P21279|GNAQ_MOUSE	 	 	sp|P21278|GNA11_MOUSE, sp|P21279|GNAQ_MOUSE	 	35.4	359	42158	Guanine nucleotide-binding protein G(q) subunit alpha OS=Mus musculus GN=Gnaq PE=1 SV=4	46	37	0.804	10	10	13	13	8	8	10	11	9.143	9.143	11.765	12.222
761	1	sp|P21300|ALD1_MOUSE	 	 	sp|P21300|ALD1_MOUSE, sp|P45376|ALDR_MOUSE, sp|P45377|ALD2_MOUSE, sp|Q8VC28|AK1CD_MOUSE	 	63.0	316	35988	Aldose reductase-related protein 1 OS=Mus musculus GN=Akr1b7 PE=1 SV=4	139	91	0.655	28	50	26	35	17	36	16	22	21.755	47.721	20.888	30.484
762	1	sp|P21447|MDR1A_MOUSE	 	 	 	 	2.4	1276	140645	Multidrug resistance protein 1A OS=Mus musculus GN=Abcb1a PE=1 SV=3	7	7	1.000	1	1	3	2	1	1	3	2	1.000	1.000	3.000	2.000
763	1	sp|P21460|CYTC_MOUSE	 	 	 	 	29.3	140	15531	Cystatin-C OS=Mus musculus GN=Cst3 PE=1 SV=2	30	30	1.000	8	8	7	7	8	8	7	7	8.000	8.000	7.000	7.000
764	1	sp|P21550|ENOB_MOUSE	 	 	sp|P17182|ENOA_MOUSE, sp|P17183|ENOG_MOUSE, sp|P21550|ENOB_MOUSE	 	46.1	434	47024	Beta-enolase OS=Mus musculus GN=Eno3 PE=1 SV=3	185	43	0.232	43	50	46	46	8	12	12	11	9.302	15.219	13.910	13.928
765	1	sp|P21614|VTDB_MOUSE	 	 	 	 	67.6	476	53600	Vitamin D-binding protein OS=Mus musculus GN=Gc PE=1 SV=2	225	225	1.000	61	54	51	59	61	54	51	59	61.000	54.000	51.000	59.000
766	1	sp|P21619|LMNB2_MOUSE	 	 	sp|P14733|LMNB1_MOUSE, sp|P21619|LMNB2_MOUSE, sp|P48678|LMNA_MOUSE	 	19.5	596	67317	Lamin-B2 OS=Mus musculus GN=Lmnb2 PE=1 SV=2	32	20	0.625	8	5	9	10	5	2	6	7	5.375	2.204	6.388	7.420
767	1	sp|P21765|GPX5_MOUSE	 	 	sp|P21765|GPX5_MOUSE, sp|P46412|GPX3_MOUSE	 	48.0	221	25392	Epididymal secretory glutathione peroxidase OS=Mus musculus GN=Gpx5 PE=2 SV=3	65	41	0.631	12	22	15	16	5	17	8	11	6.750	19.833	10.667	13.391
768	1	sp|P21812|MCPT4_MOUSE	 	 	 	 	9.8	246	27203	Mast cell protease 4 OS=Mus musculus GN=Mcpt4 PE=1 SV=1	7	7	1.000	2	2	3	0	2	2	3	0	2.000	2.000	3.000	0.000
769	1	sp|P21844|CMA1_MOUSE	 	 	 	 	40.9	247	27586	Chymase OS=Mus musculus GN=Cma1 PE=1 SV=2	20	20	1.000	5	5	4	6	5	5	4	6	5.000	5.000	4.000	6.000
770	1	sp|P21956|MFGM_MOUSE	 	 	 	 	26.6	463	51240	Lactadherin OS=Mus musculus GN=Mfge8 PE=1 SV=3	28	28	1.000	7	9	8	4	7	9	8	4	7.000	9.000	8.000	4.000
771	1	sp|P21958|TAP1_MOUSE	 	 	 	 	11.6	724	78863	Antigen peptide transporter 1 OS=Mus musculus GN=Tap1 PE=1 SV=3	13	13	1.000	3	3	3	4	3	3	3	4	3.000	3.000	3.000	4.000
772	1	sp|P21981|TGM2_MOUSE	 	 	 	 	43.1	686	77060	Protein-glutamine gamma-glutamyltransferase 2 OS=Mus musculus GN=Tgm2 PE=1 SV=4	175	175	1.000	47	38	46	44	47	38	46	44	47.000	38.000	46.000	44.000
773	1	sp|P22315|HEMH_MOUSE	 	 	 	 	27.6	420	47130	Ferrochelatase, mitochondrial OS=Mus musculus GN=Fech PE=1 SV=2	34	34	1.000	8	7	10	9	8	7	10	9	8.000	7.000	10.000	9.000
774	1	sp|P22366|MYD88_MOUSE	 	 	 	 	6.4	296	33753	Myeloid differentiation primary response protein MyD88 OS=Mus musculus GN=Myd88 PE=1 SV=3	4	4	1.000	2	1	1	0	2	1	1	0	2.000	1.000	1.000	0.000
775	1	sp|P22437|PGH1_MOUSE	 	 	 	 	8.6	602	69042	Prostaglandin G/H synthase 1 OS=Mus musculus GN=Ptgs1 PE=1 SV=1	8	8	1.000	0	4	2	2	0	4	2	2	0.000	4.000	2.000	2.000
776	1	sp|P22599|A1AT2_MOUSE	 	 	sp|P07758|A1AT1_MOUSE, sp|P22599|A1AT2_MOUSE, sp|Q00896|A1AT3_MOUSE, sp|Q00897|A1AT4_MOUSE, sp|Q00898|A1AT5_MOUSE	 	51.8	413	45974	Alpha-1-antitrypsin 1-2 OS=Mus musculus GN=Serpina1b PE=1 SV=2	558	167	0.299	144	140	117	157	43	47	27	50	79.078	80.186	59.275	88.032
777	1	sp|P22682|CBL_MOUSE	 	 	 	 	2.4	913	100563	E3 ubiquitin-protein ligase CBL OS=Mus musculus GN=Cbl PE=1 SV=3	2	2	1.000	0	0	2	0	0	0	2	0	0.000	0.000	2.000	0.000
779	1	sp|P22892|AP1G1_MOUSE	 	 	 	 	17.9	822	91349	AP-1 complex subunit gamma-1 OS=Mus musculus GN=Ap1g1 PE=1 SV=3	27	27	1.000	7	9	7	4	7	9	7	4	7.000	9.000	7.000	4.000
780	1	sp|P22907|HEM3_MOUSE	 	 	 	 	34.6	361	39344	Porphobilinogen deaminase OS=Mus musculus GN=Hmbs PE=1 SV=2	38	38	1.000	13	10	6	9	13	10	6	9	13.000	10.000	6.000	9.000
781	1	sp|P23116|EIF3A_MOUSE	 	 	 	 	25.6	1344	161934	Eukaryotic translation initiation factor 3 subunit A OS=Mus musculus GN=Eif3a PE=1 SV=5	116	116	1.000	30	26	27	33	30	26	27	33	30.000	26.000	27.000	33.000
782	1	sp|P23198|CBX3_MOUSE	 	 	sp|P23198|CBX3_MOUSE, sp|P83917|CBX1_MOUSE	 	36.1	183	20855	Chromobox protein homolog 3 OS=Mus musculus GN=Cbx3 PE=1 SV=2	45	30	0.667	11	11	12	11	7	8	7	8	9.154	10.000	10.500	10.182
783	1	sp|P23249|MOV10_MOUSE	 	 	 	 	18.1	1004	113581	Putative helicase MOV-10 OS=Mus musculus GN=Mov10 PE=1 SV=2	36	36	1.000	10	10	7	9	10	10	7	9	10.000	10.000	7.000	9.000
784	1	sp|P23475|XRCC6_MOUSE	 	 	 	 	4.3	608	69484	X-ray repair cross-complementing protein 6 OS=Mus musculus GN=Xrcc6 PE=1 SV=5	3	3	1.000	2	1	0	0	2	1	0	0	2.000	1.000	0.000	0.000
785	1	sp|P23492|PNPH_MOUSE	 	 	 	 	60.2	289	32277	Purine nucleoside phosphorylase OS=Mus musculus GN=Pnp PE=1 SV=2	157	157	1.000	45	40	37	35	45	40	37	35	45.000	40.000	37.000	35.000
786	1	sp|P23506|PIMT_MOUSE	 	 	 	 	55.9	227	24634	Protein-L-isoaspartate(D-aspartate) O-methyltransferase OS=Mus musculus GN=Pcmt1 PE=1 SV=3	59	59	1.000	12	14	16	17	12	14	16	17	12.000	14.000	16.000	17.000
787	1	sp|P23578|ACRO_MOUSE	 	 	 	 	9.2	436	48929	Acrosin OS=Mus musculus GN=Acr PE=1 SV=1	3	3	1.000	0	3	0	0	0	3	0	0	0.000	3.000	0.000	0.000
788	1	sp|P23591|FCL_MOUSE	 	 	 	 	36.8	321	35877	GDP-L-fucose synthase OS=Mus musculus GN=Tsta3 PE=1 SV=3	29	29	1.000	10	8	7	4	10	8	7	4	10.000	8.000	7.000	4.000
789	1	sp|P23780|BGAL_MOUSE	 	 	 	 	16.5	647	73120	Beta-galactosidase OS=Mus musculus GN=Glb1 PE=1 SV=1	26	26	1.000	6	6	7	7	6	6	7	7	6.000	6.000	7.000	7.000
790	1	sp|P23927|CRYAB_MOUSE	 	 	 	 	52.0	175	20069	Alpha-crystallin B chain OS=Mus musculus GN=Cryab PE=1 SV=2	22	22	1.000	5	4	5	8	5	4	5	8	5.000	4.000	5.000	8.000
791	1	sp|P23953|EST1C_MOUSE	 	 	sp|P23953|EST1C_MOUSE, sp|Q8VCC2|EST1_MOUSE, sp|Q8VCT4|CES1D_MOUSE, sp|Q91WU0|CES1F_MOUSE	 	54.9	554	61055	Carboxylesterase 1C OS=Mus musculus GN=Ces1c PE=1 SV=4	292	212	0.726	86	68	68	70	62	50	51	49	69.354	55.094	55.395	54.025
792	1	sp|P24270|CATA_MOUSE	 	 	 	 	70.8	527	59795	Catalase OS=Mus musculus GN=Cat PE=1 SV=4	356	356	1.000	93	81	90	92	93	81	90	92	93.000	81.000	90.000	92.000
793	1	sp|P24288|BCAT1_MOUSE	 	 	 	 	11.7	386	42791	Branched-chain-amino-acid aminotransferase, cytosolic OS=Mus musculus GN=Bcat1 PE=1 SV=2	5	5	1.000	2	1	1	1	2	1	1	1	2.000	1.000	1.000	1.000
794	1	sp|P24369|PPIB_MOUSE	 	 	 	 	57.4	216	23713	Peptidyl-prolyl cis-trans isomerase B OS=Mus musculus GN=Ppib PE=1 SV=2	118	118	1.000	33	25	30	30	33	25	30	30	33.000	25.000	30.000	30.000
795	1	sp|P24452|CAPG_MOUSE	 	 	 	 	27.8	352	39240	Macrophage-capping protein OS=Mus musculus GN=Capg PE=1 SV=2	82	82	1.000	21	15	24	22	21	15	24	22	21.000	15.000	24.000	22.000
796	1	sp|P24456|CP2DA_MOUSE	 	 	sp|P24456|CP2DA_MOUSE, sp|P24457|CP2DB_MOUSE	 	7.1	504	57233	Cytochrome P450 2D10 OS=Mus musculus GN=Cyp2d10 PE=1 SV=2	9	6	0.667	1	3	3	2	1	2	2	1	1.000	2.667	2.667	1.500
797	1	sp|P24457|CP2DB_MOUSE	 	 	sp|P24456|CP2DA_MOUSE, sp|P24457|CP2DB_MOUSE	 	5.0	504	56987	Cytochrome P450 2D11 OS=Mus musculus GN=Cyp2d11 PE=2 SV=2	7	4	0.571	1	2	2	2	1	1	1	1	1.000	1.333	1.333	1.500
798	1	sp|P24472|GSTA4_MOUSE	 	 	sp|P13745|GSTA1_MOUSE, sp|P24472|GSTA4_MOUSE, sp|P30115|GSTA3_MOUSE	 	22.5	222	25564	Glutathione S-transferase A4 OS=Mus musculus GN=Gsta4 PE=1 SV=3	21	20	0.952	8	3	5	5	8	3	4	5	8.000	3.000	4.133	5.000
800	1	sp|P24527|LKHA4_MOUSE	 	 	 	 	46.2	611	69050	Leukotriene A-4 hydrolase OS=Mus musculus GN=Lta4h PE=1 SV=4	182	182	1.000	47	44	47	44	47	44	47	44	47.000	44.000	47.000	44.000
801	1	sp|P24547|IMDH2_MOUSE	 	 	sp|P24547|IMDH2_MOUSE, sp|P50096|IMDH1_MOUSE	 	31.3	514	55814	Inosine-5'-monophosphate dehydrogenase 2 OS=Mus musculus GN=Impdh2 PE=1 SV=2	43	37	0.860	12	10	9	12	10	8	8	11	11.818	9.600	8.727	11.846
802	1	sp|P24549|AL1A1_MOUSE	 	 	sp|O35945|AL1A7_MOUSE, sp|P24549|AL1A1_MOUSE, sp|P47738|ALDH2_MOUSE, sp|Q62148|AL1A2_MOUSE, sp|Q9CZS1|AL1B1_MOUSE, sp|Q9JHW9|AL1A3_MOUSE	 	54.3	501	54467	Retinal dehydrogenase 1 OS=Mus musculus GN=Aldh1a1 PE=1 SV=5	299	166	0.555	70	81	78	70	35	50	43	38	52.080	68.928	63.497	54.087
803	1	sp|P24638|PPAL_MOUSE	 	 	 	 	14.4	423	48508	Lysosomal acid phosphatase OS=Mus musculus GN=Acp2 PE=1 SV=2	14	14	1.000	4	5	2	3	4	5	2	3	4.000	5.000	2.000	3.000
804	1	sp|P24668|MPRD_MOUSE	 	 	 	 	29.5	278	31172	Cation-dependent mannose-6-phosphate receptor OS=Mus musculus GN=M6pr PE=1 SV=1	25	25	1.000	5	6	7	7	5	6	7	7	5.000	6.000	7.000	7.000
805	1	sp|P25444|RS2_MOUSE	 	 	 	 	41.0	293	31231	40S ribosomal protein S2 OS=Mus musculus GN=Rps2 PE=1 SV=3	76	76	1.000	14	19	22	21	14	19	22	21	14.000	19.000	22.000	21.000
806	1	sp|P25688|URIC_MOUSE	 	 	 	 	27.1	303	35039	Uricase OS=Mus musculus GN=Uox PE=1 SV=2	28	28	1.000	5	5	10	8	5	5	10	8	5.000	5.000	10.000	8.000
807	1	sp|P25785|TIMP2_MOUSE	 	 	 	 	20.9	220	24328	Metalloproteinase inhibitor 2 OS=Mus musculus GN=Timp2 PE=1 SV=2	4	4	1.000	2	0	0	2	2	0	0	2	2.000	0.000	0.000	2.000
808	1	sp|P25799|NFKB1_MOUSE	 	 	 	 	13.3	971	105614	Nuclear factor NF-kappa-B p105 subunit OS=Mus musculus GN=Nfkb1 PE=1 SV=2	26	26	1.000	3	5	10	8	3	5	10	8	3.000	5.000	10.000	8.000
809	1	sp|P25911|LYN_MOUSE	 	 	sp|P05480|SRC_MOUSE, sp|P08103|HCK_MOUSE, sp|P25911|LYN_MOUSE, sp|P30285|CDK4_MOUSE, sp|P39688|FYN_MOUSE, sp|P49615|CDK5_MOUSE, sp|P97377|CDK2_MOUSE, sp|Q04735|CDK16_MOUSE, sp|Q04736|YES_MOUSE, sp|Q64261|CDK6_MOUSE, sp|Q8K0D0|CDK17_MOUSE, sp|Q99J95|CDK9_MOUSE	 	35.9	512	58812	Tyrosine-protein kinase Lyn OS=Mus musculus GN=Lyn PE=1 SV=4	49	36	0.735	14	10	15	10	10	7	11	8	11.585	8.085	12.585	8.803
810	1	sp|P25962|ADRB3_MOUSE	 	 	 	 	6.8	400	43006	Beta-3 adrenergic receptor OS=Mus musculus GN=Adrb3 PE=2 SV=2	5	5	1.000	1	0	2	2	1	0	2	2	1.000	0.000	2.000	2.000
811	1	sp|P26039|TLN1_MOUSE	 	 	sp|P26039|TLN1_MOUSE, sp|Q71LX4|TLN2_MOUSE	 	60.1	2541	269818	Talin-1 OS=Mus musculus GN=Tln1 PE=1 SV=2	778	712	0.915	191	187	201	199	175	177	178	182	185.769	184.052	193.219	193.011
812	1	sp|P26040|EZRI_MOUSE	 	 	sp|P26040|EZRI_MOUSE, sp|P26041|MOES_MOUSE, sp|P26043|RADI_MOUSE	 	45.4	586	69406	Ezrin OS=Mus musculus GN=Ezr PE=1 SV=3	224	75	0.335	61	56	59	48	20	17	18	20	28.565	24.207	26.160	26.429
813	1	sp|P26041|MOES_MOUSE	 	 	sp|P26040|EZRI_MOUSE, sp|P26041|MOES_MOUSE, sp|P26043|RADI_MOUSE	 	57.0	577	67766	Moesin OS=Mus musculus GN=Msn PE=1 SV=3	389	245	0.630	103	91	101	94	63	52	63	67	87.050	74.043	86.146	84.701
814	1	sp|P26043|RADI_MOUSE	 	 	sp|P26040|EZRI_MOUSE, sp|P26041|MOES_MOUSE, sp|P26043|RADI_MOUSE	 	50.4	583	68542	Radixin OS=Mus musculus GN=Rdx PE=1 SV=3	240	86	0.358	66	62	65	47	23	23	23	17	33.385	32.750	33.694	22.870
815	1	sp|P26231|CTNA1_MOUSE	 	 	sp|P26231|CTNA1_MOUSE, sp|Q61301|CTNA2_MOUSE	 	32.0	906	100105	Catenin alpha-1 OS=Mus musculus GN=Ctnna1 PE=1 SV=1	56	47	0.839	12	14	14	16	11	11	12	13	11.917	14.000	14.000	16.000
816	1	sp|P26262|KLKB1_MOUSE	 	 	 	 	27.9	638	71382	Plasma kallikrein OS=Mus musculus GN=Klkb1 PE=1 SV=2	73	73	1.000	18	22	17	16	18	22	17	16	18.000	22.000	17.000	16.000
817	1	sp|P26350|PTMA_MOUSE	 	 	 	 	23.4	111	12254	Prothymosin alpha OS=Mus musculus GN=Ptma PE=1 SV=2	22	22	1.000	6	4	6	6	6	4	6	6	6.000	4.000	6.000	6.000
818	1	sp|P26369|U2AF2_MOUSE	 	 	 	 	22.5	475	53516	Splicing factor U2AF 65 kDa subunit OS=Mus musculus GN=U2af2 PE=1 SV=3	29	29	1.000	8	8	6	7	8	8	6	7	8.000	8.000	6.000	7.000
819	1	sp|P26443|DHE3_MOUSE	 	 	 	 	44.3	558	61336	Glutamate dehydrogenase 1, mitochondrial OS=Mus musculus GN=Glud1 PE=1 SV=1	232	232	1.000	59	57	57	59	59	57	57	59	59.000	57.000	57.000	59.000
820	1	sp|P26450|P85A_MOUSE	 	 	sp|O08908|P85B_MOUSE, sp|P26450|P85A_MOUSE	 	18.0	724	83516	Phosphatidylinositol 3-kinase regulatory subunit alpha OS=Mus musculus GN=Pik3r1 PE=1 SV=2	20	17	0.850	5	2	5	8	4	2	4	7	5.000	2.000	5.000	7.875
821	1	sp|P26516|PSMD7_MOUSE	 	 	 	 	25.9	321	36539	26S proteasome non-ATPase regulatory subunit 7 OS=Mus musculus GN=Psmd7 PE=1 SV=2	19	19	1.000	5	5	4	5	5	5	4	5	5.000	5.000	4.000	5.000
822	1	sp|P26618|PGFRA_MOUSE	 	 	sp|P05532|KIT_MOUSE, sp|P05622|PGFRB_MOUSE, sp|P26618|PGFRA_MOUSE, sp|P35969|VGFR1_MOUSE, sp|P63085|MK01_MOUSE, sp|Q63844|MK03_MOUSE, sp|Q80Y86|MK15_MOUSE	 	3.9	1089	122682	Platelet-derived growth factor receptor alpha OS=Mus musculus GN=Pdgfra PE=1 SV=3	7	2	0.286	3	2	1	1	1	1	0	0	1.074	1.034	0.000	0.000
823	1	sp|P26638|SYSC_MOUSE	 	 	 	 	46.9	512	58388	Serine--tRNA ligase, cytoplasmic OS=Mus musculus GN=Sars PE=1 SV=3	95	95	1.000	25	19	27	24	25	19	27	24	25.000	19.000	27.000	24.000
824	1	sp|P26645|MARCS_MOUSE	 	 	 	 	67.6	309	29661	Myristoylated alanine-rich C-kinase substrate OS=Mus musculus GN=Marcks PE=1 SV=2	59	59	1.000	22	11	13	13	22	11	13	13	22.000	11.000	13.000	13.000
825	1	sp|P26883|FKB1A_MOUSE	 	 	 	 	13.0	108	11922	Peptidyl-prolyl cis-trans isomerase FKBP1A OS=Mus musculus GN=Fkbp1a PE=1 SV=2	23	23	1.000	8	4	5	6	8	4	5	6	8.000	4.000	5.000	6.000
826	1	sp|P27046|MA2A1_MOUSE	 	 	 	 	6.3	1150	131630	Alpha-mannosidase 2 OS=Mus musculus GN=Man2a1 PE=1 SV=2	10	10	1.000	2	3	2	3	2	3	2	3	2.000	3.000	2.000	3.000
827	1	sp|P27048|RSMB_MOUSE (+1)	sp|P27048|RSMB_MOUSE&sp|P63163|RSMN_MOUSE	 	 	 	16.0	231	23656	Small nuclear ribonucleoprotein-associated protein B OS=Mus musculus GN=Snrpb PE=1 SV=1	8	8	1.000	2	1	3	2	2	1	3	2	2.000	1.000	3.000	2.000
828	1	sp|P27546|MAP4_MOUSE	 	 	 	 	57.7	1125	117428	Microtubule-associated protein 4 OS=Mus musculus GN=Map4 PE=1 SV=3	287	287	1.000	70	67	72	78	70	67	72	78	70.000	67.000	72.000	78.000
829	1	sp|P27601|GNA13_MOUSE	 	 	sp|B2RSH2|GNAI1_MOUSE, sp|P08752|GNAI2_MOUSE, sp|P18872|GNAO_MOUSE, sp|P27601|GNA13_MOUSE, sp|P63094|GNAS2_MOUSE, sp|Q9DC51|GNAI3_MOUSE	 	28.1	377	44054	Guanine nucleotide-binding protein subunit alpha-13 OS=Mus musculus GN=Gna13 PE=1 SV=1	38	25	0.658	8	13	9	8	5	8	6	6	5.294	8.727	6.340	6.211
830	1	sp|P27612|PLAP_MOUSE	 	 	 	 	31.7	794	87220	Phospholipase A-2-activating protein OS=Mus musculus GN=Plaa PE=1 SV=4	79	79	1.000	21	18	20	20	21	18	20	20	21.000	18.000	20.000	20.000
831	1	sp|P27641|XRCC5_MOUSE	 	 	 	 	9.0	732	83056	X-ray repair cross-complementing protein 5 OS=Mus musculus GN=Xrcc5 PE=1 SV=4	7	7	1.000	0	3	1	3	0	3	1	3	0.000	3.000	1.000	3.000
832	1	sp|P27659|RL3_MOUSE	 	 	 	 	43.2	403	46109	60S ribosomal protein L3 OS=Mus musculus GN=Rpl3 PE=1 SV=3	87	87	1.000	21	24	22	20	21	24	22	20	21.000	24.000	22.000	20.000
834	1	sp|P27773|PDIA3_MOUSE	 	 	 	 	68.5	505	56678	Protein disulfide-isomerase A3 OS=Mus musculus GN=Pdia3 PE=1 SV=2	274	274	1.000	73	66	63	72	73	66	63	72	73.000	66.000	63.000	72.000
835	1	sp|P27808|MGAT1_MOUSE	 	 	 	 	5.4	447	51690	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase OS=Mus musculus GN=Mgat1 PE=1 SV=1	5	5	1.000	2	1	1	1	2	1	1	1	2.000	1.000	1.000	1.000
836	1	sp|P27870|VAV_MOUSE	 	 	 	 	3.6	845	98136	Proto-oncogene vav OS=Mus musculus GN=Vav1 PE=1 SV=1	4	4	1.000	2	1	1	0	2	1	1	0	2.000	1.000	1.000	0.000
837	1	sp|P28063|PSB8_MOUSE	 	 	 	 	53.6	276	30260	Proteasome subunit beta type-8 OS=Mus musculus GN=Psmb8 PE=1 SV=2	56	56	1.000	13	15	12	16	13	15	12	16	13.000	15.000	12.000	16.000
838	1	sp|P28271|ACOC_MOUSE	 	 	sp|P28271|ACOC_MOUSE, sp|Q811J3|IREB2_MOUSE	 	53.5	889	98124	Cytoplasmic aconitate hydratase OS=Mus musculus GN=Aco1 PE=1 SV=3	250	248	0.992	66	63	61	60	65	62	61	60	65.985	62.984	61.000	60.000
839	1	sp|P28352|APEX1_MOUSE	 	 	 	 	40.1	317	35490	DNA-(apurinic or apyrimidinic site) lyase OS=Mus musculus GN=Apex1 PE=1 SV=2	35	35	1.000	9	9	10	7	9	9	10	7	9.000	9.000	10.000	7.000
840	1	sp|P28474|ADHX_MOUSE	 	 	sp|P28474|ADHX_MOUSE, sp|Q64437|ADH7_MOUSE	 	49.5	374	39547	Alcohol dehydrogenase class-3 OS=Mus musculus GN=Adh5 PE=1 SV=3	107	86	0.804	29	23	27	28	24	18	21	23	28.800	22.286	26.727	27.792
841	1	sp|P28650|PURA1_MOUSE	 	 	sp|P28650|PURA1_MOUSE, sp|P46664|PURA2_MOUSE	 	26.9	457	50254	Adenylosuccinate synthetase isozyme 1 OS=Mus musculus GN=Adssl1 PE=1 SV=2	31	25	0.806	10	6	7	8	9	5	5	6	9.450	5.312	5.500	6.667
843	1	sp|P28653|PGS1_MOUSE	 	 	sp|P28653|PGS1_MOUSE, sp|P28654|PGS2_MOUSE	 	52.8	369	41639	Biglycan OS=Mus musculus GN=Bgn PE=1 SV=1	120	116	0.967	30	27	30	33	30	27	28	31	30.000	27.000	28.549	31.653
844	1	sp|P28654|PGS2_MOUSE	 	 	sp|P28653|PGS1_MOUSE, sp|P28654|PGS2_MOUSE	 	48.6	354	39809	Decorin OS=Mus musculus GN=Dcn PE=1 SV=1	304	300	0.987	82	80	76	66	82	80	74	64	82.000	80.000	75.451	65.347
845	1	sp|P28656|NP1L1_MOUSE	 	 	sp|P28656|NP1L1_MOUSE, sp|Q78ZA7|NP1L4_MOUSE	 	45.5	391	45345	Nucleosome assembly protein 1-like 1 OS=Mus musculus GN=Nap1l1 PE=1 SV=2	120	104	0.867	35	28	28	29	31	24	25	24	33.638	26.462	26.786	27.000
846	1	sp|P28658|ATX10_MOUSE	 	 	 	 	21.3	475	53706	Ataxin-10 OS=Mus musculus GN=Atxn10 PE=1 SV=2	32	32	1.000	9	8	6	9	9	8	6	9	9.000	8.000	6.000	9.000
847	1	sp|P28659|CELF1_MOUSE	 	 	sp|P28659|CELF1_MOUSE, sp|Q9Z0H4|CELF2_MOUSE	 	8.0	486	52107	CUGBP Elav-like family member 1 OS=Mus musculus GN=Celf1 PE=1 SV=2	9	7	0.778	1	4	1	3	1	3	1	2	1.000	3.300	1.000	2.250
848	1	sp|P28660|NCKP1_MOUSE	 	 	 	 	19.5	1128	128783	Nck-associated protein 1 OS=Mus musculus GN=Nckap1 PE=1 SV=2	57	57	1.000	16	11	17	13	16	11	17	13	16.000	11.000	17.000	13.000
849	1	sp|P28661|SEPT4_MOUSE	 	 	sp|O55131|SEPT7_MOUSE, sp|P28661|SEPT4_MOUSE, sp|Q9Z2Q6|SEPT5_MOUSE	 	29.3	478	54935	Septin-4 OS=Mus musculus GN=Sept4 PE=1 SV=1	33	29	0.879	7	6	12	8	6	5	10	8	6.667	5.625	10.947	8.000
